Name,Bptf,Cbfa2t3h,Erg,Ets1,Ets2,Etv6,Fli1,Gata1,Gata2,Gata3,Gfi1b,Hhex,Hoxa5,Hoxa9,Hoxb4,Ikzf1,Ldb1,Lmo2,Lyl1,Meis1,Mitf,Myb,Nfe2,Nkx2,Notch,Pbx1,Prdm16,Runx1,Smarcc1,Tal1,Tcf7
LMPP_194,0.805455419,0.719147244,0.804746932,0,0,0.852285318,0.710141295,0,0,0,0,0,0.809399207,0.786098257,0,0.86652916,0.77464253,0.834567144,0.791130442,0.781897061,0.826424618,0.791179927,0.706347978,0.828636442,0.58851536,0.809143409,0,0,0.866584606,0,0
ST-HSC_177,0.838749699,0.76084764,0.886563254,0.788819829,0,0.790859258,0.724647307,0,0.716728985,0.821283671,0,0,0,0,0,0.735844806,0,0.848957957,0.803195033,0.712017318,0.846068226,0.914391447,0.892075812,0,0.763741073,0,0,0.786637874,0.784165139,0.397517037,0
LMPP_036,0.947817738,0.74441515,0.782401117,0.732971592,0,0.839206615,0.825751351,0,0,0.813546141,0,0,0,0.787106657,0,0.914985842,0.775748664,0.79669346,0.811752389,0.824449321,0,0.799966723,0.860145782,0.83312907,0.763875905,0,0,0.694831645,0.930526535,0.788709651,0
ST-HSC_077,0.826634174,0,0.827494866,0.822300185,0,0.870246505,0.84257287,0,0,0.857663419,0,0.836466082,0,0.71456793,0,0.857037045,0.801121616,0.778889986,0.798891827,0.644503961,0,0.816599026,0.831698532,0,0.65316884,0.803644978,0,0.900128292,0.789484798,0,0
MPP_092,0.866308136,0.433114231,0.859501464,0.505489088,0.754135947,0.783079819,0.697466331,0.548170839,0,0.363029481,0,0,0.366932354,0.722777109,0.367262576,0.795281323,0.80734272,0.848993218,0.711276282,0.729357417,0,0.782092234,0.772516814,0,0.756929154,0,0.920195934,0.722670634,0.788145132,0.761529976,0.410010337
LMPP_091,0.895158521,0.832432192,0.832990307,0.809781184,0,0.85214974,0.773267737,0,0.673201505,0.822352513,0,0.850271138,0,0.670092351,0,0.86427922,0,0.698142407,0.83669633,0.704387945,0,0.898045758,0.732498173,0,0.638564839,0,0,0.885190185,0.825051281,0,0
ST-HSC_070,0.866794719,0.799695684,0.870365365,0,0,0.804405363,0.674882124,0,0,0,0,0,0,0,0,0.79505343,0.783423806,0.858972568,0.663401478,0.801074414,0,0.852086704,0.716639165,0,0.799119459,0,0,0.645528171,0.810244556,0.782861555,0
GMP_158,0.813614322,0.621587437,0.728570045,0,0.822115737,0.810147067,0.752904115,0,0.567227064,0,0,0,0,0.743331187,0,0.790581132,0,0.765009208,0.682842294,0.648453376,0.727163905,0.722767978,0.733834573,0.67301777,0,0.68666765,0,0.723519414,0.828986253,0.425274138,0
LMPP_153,0.845185768,0.827260925,0,0.758225278,0,0.740975351,0.789080997,0,0,0,0,0,0,0.818961149,0,0.824519848,0.827381349,0.731506128,0.665663963,0.79404626,0,0.731933513,0.820117809,0.792483987,0,0.644727519,0.808541228,0.518838372,0.72227296,0,0
ST-HSC_168,0.803426401,0.783704818,0.808011151,0,0,0.835779649,0.746894734,0,0,0,0,0,0,0.783666647,0,0.753194187,0.812236143,0.876649821,0.818434445,0.821305947,0,0.875310379,0.80702242,0.747851089,0.681516987,0.786013891,0,0.976215985,0.816804291,0.789307517,0
GMP_075,0.85510927,0.807611989,0.769186723,0,0,0.833885607,0.814611758,0,0.565145673,0,0,0,0,0.594313486,0,0.808140511,0.727321786,0.776455383,0.793410177,0.617254348,0.800895276,0.861085098,0.810288386,0,0,0.745393557,0,0.726512646,0.868926942,0,0
CMP_144,0.816136243,0.830059593,0.789646152,0.842298903,0,0.91135342,0.839739619,0,0,0,0.793377713,0,0,0.893874432,0.961749321,0.930727408,0,0.77243211,0.892475286,0.702386543,0,0.890294235,0.851054434,0.820963521,0.618471476,0.888448324,0,0.732483508,0.867137315,0,0
LMPP_146,0.813771144,0.685703471,0.747570411,0.868755185,0,0.834617175,0.806158564,0,0.675729062,0,0,0,0,0.854248213,0.775508987,0.956687646,0,0.817206201,0.829585938,0.742562164,0,0.827246602,0.817715491,0.788370116,0,0,0,0.601782082,0.83088913,0.81798957,0
MPP_141,0.801381781,0.829309863,0.8433523,0.753708898,0,0.86909002,0.757653158,0,0,0,0,0.905246454,0,0.845617296,0,0.868555773,0.803092972,0.865592315,0.734334721,0.785117095,0,0.859391831,0.754921329,0.743227268,0.694919334,0.72314441,0,0.772292792,0.867132652,0.508236603,0
MPP_100,0.820691174,0.699652986,0,0.345751919,0,0.73536793,0.658051623,0.357971684,0,0.217081209,0,0.799261551,0,0.642902989,0,0.772783327,0.661807441,0.725022392,0.601605885,0.718674133,0,0.721261552,0.658148198,0.74779417,0.705020948,0.200282583,0,0.681759074,0.714678101,0.19060258,0.290528832
CMP_108,0.799104118,0.722866612,0.728455528,0,0.717780583,0.789669206,0.725870143,0,0,0.764941156,0.698523033,0,0,0.645882019,0,0.840099325,0,0.765640826,0.555168163,0.694429078,0,0.783310991,0.698958436,0,0.462597912,0.636190681,0,0.683201368,0.776553579,0.709602512,0
GMP_013,0.871022881,0.729189815,0.745442735,0.754571133,0.772038702,0.836173304,0.778051772,0,0.74028964,0,0,0,0,0.721270012,0,0.847594025,0.716066585,0.794446899,0.817565669,0.579652857,0,0.875819969,0.902319467,0,0,0.710692793,0,0.808436915,0.896857044,0.475046372,0
LMPP_171,0.82133385,0.75108335,0.797035051,0.628797782,0,0,0.735551423,0,0.635818454,0,0,0,0,0.824731732,0,0.808700242,0.865260724,0.795274704,0.766851837,0.776402642,0,0.835478478,0.754486952,0.757568979,0.560561407,0.766343621,0,0.714170464,0.848943328,0,0
ST-HSC_004,0.786259528,0,0.821920588,0.791291118,0.732695672,0.683068797,0.747235147,0,0.57457379,0.724205757,0,0.740074724,0,0.737777027,0,0.810493158,0.763011157,0.715066696,0.674139859,0.67631817,0,0.810392969,0.714313276,0.718299267,0.674905291,0.667886124,0,0.734355958,0.815725339,0.688045568,0
LMPP_055,0.845855531,0.779286687,0.737274816,0.846498299,0,0.732618116,0.730790634,0,0,0,0,0.836551446,0,0,0,0.863001634,0.771211329,0.856191383,0.81344561,0.728728193,0,0.796377122,0.674943168,0.737265679,0.744233938,0.813364791,0,0.786715829,0.666762377,0,0
